filename,gs_base_rs,gs_base_ars,gs_base_ss,gs_multi_rs,gs_multi_ars,gs_multi_ss,gs_burnin_rs,gs_burnin_ars,gs_burnin_ss
data-k-3-376.csv,0.515365365,0.006481208,0.177444467,0.502590591,0.009097978,0.475235913,0.517551552,0.006765068,0.321423345
data-k-3-377.csv,0.708588589,-0.015296071,-0.325167302,0.465009009,0.058138152,0.387720173,0.473033033,0.012564217,-0.102674748
data-k-3-378.csv,0.64649049,0.287559483,0.104724355,0.677167167,0.319037818,0.509783509,0.634950951,0.257590588,0.232031374
data-k-3-379.csv,0.598274274,0.205241415,-0.08975545,0.62842042,0.238311786,0.506789163,0.593343343,0.210879907,0.361086872
data-k-3-380.csv,0.485993994,-0.041033137,-0.251657196,0.49825025,0.0100638,0.383842028,0.49019019,-0.016910378,-0.000540574
data-k-3-381.csv,0.451183183,-0.0200075,-0.109086505,0.472660661,0.039895801,0.429248383,0.526630631,0.06725844,0.058356717
data-k-3-382.csv,0.505227227,-0.015561491,-0.268486188,0.503963964,0.029622887,0.474734164,0.512016016,0.021079037,0.040972201
data-k-3-383.csv,0.664742743,0.272436351,0.198491714,0.707655656,0.372636432,0.512959267,0.669193193,0.285188226,0.276410274
data-k-3-384.csv,0.545953954,0.138538944,-0.170190571,0.726790791,0.396155381,0.440220369,0.687025025,0.320899154,0.285291749
data-k-3-385.csv,0.473413413,0.047967567,-0.298013177,0.61382983,0.186487257,0.052838161,0.609357357,0.142782831,0.076966626
data-k-3-386.csv,0.734284284,0.395966808,0.103237836,0.690704705,0.367632418,0.452233563,0.703667668,0.343589115,0.142077202
data-k-3-387.csv,0.654626627,-0.018530293,-0.346225242,0.558986987,0.110606081,0.131804662,0.709547548,0.16728285,0.039311174
data-k-3-388.csv,0.736520521,0.482111681,0.478223319,0.721885886,0.449784615,0.676797624,0.713105105,0.435355708,0.577911033
data-k-3-389.csv,0.940088088,0.873132621,0.699665916,0.957591592,0.91042741,0.723803365,0.954682683,0.904359714,0.723586429
data-k-3-390.csv,0.696930931,0.336782618,0.217884872,0.754286286,0.464020796,0.520060625,0.708308308,0.353206838,0.301753262
data-k-3-391.csv,0.652196196,0.304559954,0.388325037,0.737169169,0.474234914,0.575482748,0.688568569,0.376699657,0.481847179
data-k-3-392.csv,0.481627628,0.04543879,-0.288418322,0.604476476,0.118681677,0.304897652,0.480284284,0.050379569,0.138043831
data-k-3-393.csv,0.601597598,0.196721696,-0.025964189,0.680146146,0.300866713,0.463492041,0.619415415,0.202814867,0.09907273
data-k-3-394.csv,0.959703704,0.919330909,0.631755773,0.916314314,0.831090667,0.598114343,0.927511512,0.854093452,0.597946355
data-k-3-395.csv,0.718536537,0.437217839,0.094185022,0.74006006,0.480691155,0.346865941,0.572728729,0.142686406,0.375773576
data-k-3-396.csv,0.524942943,0.02259732,-0.278082793,0.465521522,0.009040377,0.506385897,0.493133133,0.00407077,0.001718406
data-k-3-397.csv,0.601535536,0.200328459,-0.058467024,0.622322322,0.25572958,0.490704673,0.628242242,0.262319863,0.226154016
data-k-3-398.csv,0.540956957,0.032712318,-0.090227949,0.596622623,0.122452936,0.35875216,0.536024024,0.0419763,-0.057159086
data-k-3-399.csv,0.732760761,0.41063378,0.284994495,0.80164965,0.566825953,0.443166532,0.727079079,0.400689249,0.281062631
data-k-3-400.csv,0.419099099,-0.006021287,-0.235189334,0.512828829,0.003861795,0.156845491,0.428516517,-0.00234487,-0.155875688
data-k-3-401.csv,0.466972973,0.016369645,0.03702248,0.470994995,0.012437129,0.304978649,0.640716717,-0.019255503,0.092122445
data-k-3-402.csv,0.492742743,-0.008621676,-0.122236675,0.502964965,0.004128138,0.442613909,0.499245245,-0.001382168,0.045407222
data-k-3-403.csv,0.620792793,0.235112874,-0.052460912,0.717961962,0.391237285,0.49820031,0.613047047,0.227313508,-0.022133562
data-k-3-404.csv,0.572422422,0.113661272,-0.116919738,0.503179179,0.113527367,0.444017856,0.50844044,0.085095619,0.118687192
data-k-3-405.csv,0.455191191,0.002001968,-0.332341938,0.585511512,0.095380373,0.183075905,0.376358358,0.002032942,-0.177224163
data-k-3-406.csv,0.636346346,0.185989912,0.109742106,0.672800801,0.275629028,0.472572942,0.638974975,0.202986632,0.244409893
data-k-3-407.csv,0.475645646,0.057972603,-0.331177607,0.611513514,0.160431117,0.160668007,0.621013013,0.183027001,0.092688455
data-k-3-408.csv,0.619307307,-0.017996145,-0.391682947,0.432962963,-0.003720624,0.055903425,0.473947948,-0.064155555,-0.031855824
data-k-3-409.csv,0.574536537,0.184630054,-0.15928062,0.680442442,0.308093359,0.474284243,0.641179179,0.223611208,0.245311504
data-k-3-410.csv,0.776524525,0.43394895,0.455780461,0.702918919,0.408193106,0.505791469,0.790006006,0.479200489,0.252210759
data-k-3-411.csv,0.509257257,0.019293852,-0.141520369,0.505877878,-0.002793976,0.264915862,0.502646647,0.018827344,-0.140786884
data-k-3-412.csv,0.883821822,0.75728304,0.604318305,0.911229229,0.815226512,0.686493375,0.904942943,0.804718674,0.672493992
data-k-3-413.csv,0.530402402,0.057628189,-0.220136978,0.601503504,0.172809785,0.385695115,0.510068068,0.030780802,0.306201552
data-k-3-414.csv,0.780528529,0.546840312,0.528582528,0.819527528,0.626887112,0.589574787,0.767027027,0.515001049,0.479865912
data-k-3-415.csv,0.559847848,-0.006772254,-0.296566996,0.462550551,0.005457283,0.523003636,0.524188188,-0.006068307,-0.017677672
data-k-3-416.csv,0.521697698,0.107896378,0.039858689,0.623335335,0.24360262,0.532532307,0.704726727,0.321495179,0.35895186
data-k-3-417.csv,0.492314314,0.091812928,0.076267975,0.617085085,0.243562077,0.49843958,0.517365365,0.098435663,0.296648248
data-k-3-418.csv,0.490736737,0.000803992,-0.043413684,0.500956957,0.022286708,0.439088953,0.497021021,0.006811641,0.138358491
data-k-3-419.csv,0.709479479,0.423400172,-0.080441932,0.688594595,0.362473094,0.242122076,0.701641642,0.40688944,0.011478788
data-k-3-420.csv,0.489431431,0.033162477,-0.345600655,0.531921922,0.042793557,0.06245497,0.507683684,0.003806689,0.024352038
data-k-3-421.csv,0.50608008,0.028415888,-0.154041687,0.54609009,0.053751888,0.38367273,0.513981982,0.037629805,0.079420087
data-k-3-422.csv,0.751373373,0.486311226,0.184192405,0.745191191,0.483159267,0.470911644,0.737335335,0.458986804,0.484710638
data-k-3-423.csv,0.672748749,0.342174107,0.032180327,0.679235235,0.374829976,0.408999582,0.693945946,0.394275403,0.1931215
data-k-3-424.csv,0.749211211,0.240862048,-0.01577032,0.580742743,0.155758289,0.418247366,0.813159159,0.265344113,0.524885519
data-k-3-425.csv,0.507301301,0.015778835,-0.194076655,0.552832833,0.084304848,0.407753681,0.511299299,0.014079126,0.017592918
data-k-3-426.csv,0.504444444,0.022986741,0.225725522,0.506500501,0.031437675,0.322855962,0.482214214,-0.045519405,0.154963739
data-k-3-427.csv,0.864930931,0.710017347,0.548104163,0.818558559,0.627776629,0.533441688,0.901581582,0.783468533,0.626465808
data-k-3-428.csv,0.521329329,0.042036832,-0.304070715,0.528186186,0.040889162,0.439152828,0.538112112,0.041881233,0.024365019
data-k-3-429.csv,0.51437037,0.106843082,0.038588345,0.528386386,0.147548034,0.5055062,0.819445445,0.450283761,0.342986046
data-k-3-430.csv,0.715113113,-0.037494528,-0.142706809,0.492232232,0.01969079,0.288878588,0.706388388,-0.009606065,0.13566802
data-k-3-431.csv,0.466454454,0.010718723,-0.359825855,0.562014014,0.069165345,0.167275916,0.511755756,0.02155097,-0.039867774
data-k-3-432.csv,0.60170971,0.011200863,-0.03553896,0.526658659,0.059926558,0.35312471,0.60384985,-0.010649922,0.223438595
data-k-3-433.csv,0.70012012,-0.001203291,-0.39742631,0.424558559,0.031275628,0.392148159,0.756152152,0.126434907,-0.106088773
data-k-3-434.csv,0.593149149,0.255369576,0.265941856,0.631903904,0.260385439,0.484256594,0.611259259,0.284028776,0.359224562
data-k-3-435.csv,0.539555556,0.083080196,-0.043500193,0.561825826,0.113596687,0.503155143,0.557525526,0.123106507,0.276641319
data-k-3-436.csv,0.571855856,0.148008212,-0.160269595,0.602686687,0.195653545,0.442828565,0.604366366,0.208873669,0.049392386
data-k-3-437.csv,0.565235235,0.121814218,0.230553742,0.661233233,0.286461253,0.549523692,0.603285285,0.183654861,0.313456135
data-k-3-438.csv,0.680744745,0.350299064,0.250679309,0.70004004,0.396588923,0.549503477,0.673633634,0.334801725,0.450423475
data-k-3-440.csv,0.442188188,0.010138056,-0.354992481,0.536528529,0.03162427,0.058193259,0.456548549,0.020486132,-0.252510921
data-k-3-441.csv,0.583795796,0.073592026,-0.18878968,0.510732733,0.103143585,0.341282378,0.582294294,0.107484745,0.157724866
data-k-3-442.csv,0.75173974,0.497883977,0.307566731,0.810222222,0.613188962,0.525700872,0.744136136,0.475017915,0.322578373
data-k-3-443.csv,0.606334334,0.246209767,-0.082304605,0.649251251,0.275957992,0.50253073,0.604714715,0.288627101,0.436967938
data-k-3-444.csv,0.530926927,0.046712602,-0.089457233,0.575641642,0.133886914,0.4680447,0.502970971,0.088813714,-0.005713935
data-k-3-445.csv,0.519183183,0.046398354,-0.19557296,0.598122122,0.104923445,0.345600403,0.543447447,0.04740325,-0.030983621
data-k-3-446.csv,0.485775776,0.009222227,-0.386301752,0.52753954,0.037961115,0.365566749,0.501003003,0.002250307,0.069351497
